ID_PERSONA	TBENE	BASE	PERIODO_BASE	LEY_APLICADA	MONTO	DESC_BENE
5085971	1	111	202304	RI	56383.99	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5088912	1	111	202304	TI	56905.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5090404	1	111	202304	RI	55754	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5090940	1	111	202304	TE	46145.03	LEY 26970 - PLAN CANCELADO
5091033	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5091689	1	111	202304	TE	44988.12	LEY 26970 - PLAN CANCELADO
5095135	1	111	202304	PO	52726.21	LEY 24.476 - MORATORIA
5107683	3	414	202304		499116.84	CAJA DE RETIROS, JUBILACIONES Y PENSIONES DE LA POLICÍA FEDERAL
5111759	1	111	202304	RI	45592.84	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5112370	1	111	202304	PC	49284.19	LEY 24241
5115015	1	111	202304	TE	54409.07	LEY 26970 - PLAN CANCELADO
5119360	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5120955	1	111	202304	RI	56363.68	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5121446	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5121779	1	111	202304	RE	5000	LEY 26970 - MORATORIA
5127048	1	111	202304	PP	56905.47	LEY 24241 -PC- PRPA.
5134734	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5136412	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5136500	1	111	202304	RI	56300.76	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5143774	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5144007	1	111	202304	PO	56606.07	LEY 24.476 - MORATORIA
5148810	1	111	202304	TE	51368.25	LEY 26970 - PLAN CANCELADO
5149414	1	111	202304	PO	46124.41	LEY 24.476 - MORATORIA
5151939	1	111	202304	RI	41577.2	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5154159	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5155744	2	111	202304	PC	53831.73	LEY 24241
5158377	1	111	202304	RI	56389.97	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5162398	1	111	202304	RI	56432.97	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5166410	1	111	202304	TE	56905.47	LEY 26970 - PLAN CANCELADO
5167210	2	111	202304	RE	5000	LEY 26970 - MORATORIA
5171665	1	111	202304	RI	66245.14	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5173480	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5173949	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5176355	2	111	202304	PK	54867.95	PENSIONES DERIVADAS POR WEB
5179985	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5182068	1	111	202304	RI	55702.72	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5191110	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5195181	1	111	202304	PP	15000	LEY 24241 -PC- PRPA.
5196194	2	377	202303	LEY 571 - CIVILES	99090.81	
5196988	1	111	202304	TI	56905.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5197284	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5204042	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5207467	1	111	202304	TI	15000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5207712	1	111	202304	TI	15000	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5215797	2	111	202304	TO	69774.03	TRANSFORMACION LEY  24.476
5222943	2	50	202304	12464	614843	POR MUERTE DE ACTIVO
5239298	1	111	202304	RI	55934.63	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5242403	1	111	202304	RI	7386.57	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5242589	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
