ID_PERSONA	TBENE	BASE	PERIODO_BASE	LEY_APLICADA	MONTO	DESC_BENE
5819436	1	111	202304	RI	52885.62	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5821671	1	111	202304	RI	208661.34	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5825888	1	111	202304	RI	55729.86	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5826698	1	111	202304	RE	54848.8	LEY 26970 - MORATORIA
5826802	1	111	202304	TI	52688.76	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
5832261	2	111	202304	PP	5000	LEY 24241 -PC- PRPA.
5833892	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5834508	1	111	202304	RE	49835.65	LEY 26970 - MORATORIA
5838133	1	111	202304	RI	65424.53	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5838924	1	111	202304	RI	52895.57	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5840900	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5841154	1	111	202304	TE	75833.17	LEY 26970 - PLAN CANCELADO
5843612	2	111	202304	PK	56905.47	PENSIONES DERIVADAS POR WEB
5844693	1	111	202304	RI	47059.24	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5849981	1	111	202304	TE	51377.01	LEY 26970 - PLAN CANCELADO
5854290	2	111	202304	PP	56905.47	LEY 24241 -PC- PRPA.
5854978	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5855280	1	111	202304	RE	55781.15	LEY 26970 - MORATORIA
5866979	1	111	202304	TO	252.48	TRANSFORMACION LEY  24.476
5869386	1	111	202304	RE	55950.67	LEY 26970 - MORATORIA
5869772	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5869959	1	111	202304	TE	47540.35	LEY 26970 - PLAN CANCELADO
5870774	1	111	202304	RE	57552.31	LEY 26970 - MORATORIA
5871393	1	111	202304	RI	56361.94	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5881546	2	111	202304	07	71071.15	LEY 22976
5885775	1	111	202304	RI	56570.52	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5886705	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
5887044	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5887360	2	111	202304	TO	54311.33	TRANSFORMACION LEY  24.476
5888961	1	111	202304	RI	50913.92	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5889485	1	111	202304	RI	50825.28	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
5891488	1	111	202304	RE	15000	LEY 26970 - MORATORIA
5891664	1	111	202304	RI	15000	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
